Customer Name,Store Name,Amount,Transaction Time
Olivia   Wallmart   231   7/12/2014
Olivia   Wallmart   231   7/12/2014
Olivia   Wallmart   231   7/12/2014
Madison   Wallmart   91   6/29/2014
Madison   Wallmart   91   6/29/2014
Madison   Wallmart   91   6/29/2014
Paul   Starbucks   239   5/15/2014
Marc   American_Apparel   336   4/3/2014
Marc   American_Apparel   336   4/3/2014
Paul   Just_Brew_It   986   4/17/2014
Paul   Just_Brew_It   986   4/17/2014
Marc   Amazon   134   4/14/2014
Marc   Amazon   134   4/14/2014
Paul   Sears   475   3/28/2014
Paul   Sears   475   3/28/2014
Paul   Sears   475   3/28/2014
Marc   Wallmart   964   3/22/2014
Marc   Wallmart   964   3/22/2014
Marc   Wallmart   964   3/22/2014
Paul   Wallmart   654   3/20/2014
Paul   Wallmart   654   3/20/2014
Paul   Wallmart   654   3/20/2014
Madison   Subway   352   12/16/2014
Madison   Subway   352   12/16/2014
Madison   Subway   352   12/16/2014
Madison   Subway   352   12/16/2014
Madison   MacDonalds   630   10/6/2014
Madison   MacDonalds   630   10/6/2014
Madison   MacDonalds   630   10/6/2014
Madison   MacDonalds   630   10/6/2014
Olivia   Soccer_for_the_City   924   10/4/2014
Olivia   Soccer_for_the_City   924   10/4/2014
Olivia   Soccer_for_the_City   924   10/4/2014
Olivia   Soccer_for_the_City   924   10/4/2014
